A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA1m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	A673_SA2m1.GSE133227.Homo_Sapiens.CTCF
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2r.GSE133227.Homo_Sapiens.CTCF
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b1	A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2r.GSE133227.Homo_Sapiens.CTCF
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b2	A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b3	A673_SA2r.GSE133227.Homo_Sapiens.CTCF
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b5	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b5	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b5	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b5	A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.CTCF.b1	A673_WT.GSE133227.Homo_Sapiens.CTCF.b2	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b1	A673_WT.GSE133227.Homo_Sapiens.CTCF.b3	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b1	A673_WT.GSE133227.Homo_Sapiens.CTCF.b4	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b1	A673_WT.GSE133227.Homo_Sapiens.CTCF.b5	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b2	A673_WT.GSE133227.Homo_Sapiens.CTCF.b3	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b2	A673_WT.GSE133227.Homo_Sapiens.CTCF.b4	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b2	A673_WT.GSE133227.Homo_Sapiens.CTCF.b5	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b3	A673_WT.GSE133227.Homo_Sapiens.CTCF.b4	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b3	A673_WT.GSE133227.Homo_Sapiens.CTCF.b5	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.CTCF.b4	A673_WT.GSE133227.Homo_Sapiens.CTCF.b5	A673_WT.GSE133227.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac.b1	CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac.b2	CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac
CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac.b1	CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac.b2	CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD8_Naive_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CTL.GSE117888.Homo_Sapiens.H3K27ac.b1	CTL.GSE117888.Homo_Sapiens.H3K27ac.b2	CTL.GSE117888.Homo_Sapiens.H3K27ac
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	Caudate.GSE147672.Homo_Sapiens.H3K27ac.b2	Caudate.GSE147672.Homo_Sapiens.H3K27ac
DEX.GSE117888.Homo_Sapiens.H3K27ac.b1	DEX.GSE117888.Homo_Sapiens.H3K27ac.b2	DEX.GSE117888.Homo_Sapiens.H3K27ac
DND41-DMSO.GSE173871.Homo_Sapiens.SMC1A.b1	DND41-DMSO.GSE173871.Homo_Sapiens.SMC1A.b2	DND41-DMSO.GSE173871.Homo_Sapiens.SMC1A
DND41-Resistant.GSE173871.Homo_Sapiens.SMC1A.b1	DND41-Resistant.GSE173871.Homo_Sapiens.SMC1A.b2	DND41-Resistant.GSE173871.Homo_Sapiens.SMC1A
DND41.GSE165207.Homo_Sapiens.H3K27ac.b1	DND41.GSE165207.Homo_Sapiens.H3K27ac.b2	DND41.GSE165207.Homo_Sapiens.H3K27ac
GM12878.GSE101498.Homo_Sapiens.H3K27ac.b1	GM12878.GSE101498.Homo_Sapiens.H3K27ac.b2	GM12878.GSE101498.Homo_Sapiens.H3K27ac
GM12878.GSE115524.Homo_Sapiens.CTCF.b1	GM12878.GSE115524.Homo_Sapiens.CTCF.b2	GM12878.GSE115524.Homo_Sapiens.CTCF
GM12878.GSE80820.Homo_Sapiens.SMC1A.b1	GM12878.GSE80820.Homo_Sapiens.SMC1A.b2	GM12878.GSE80820.Homo_Sapiens.SMC1A
HeLa-S3-shBHLHE40.GSE137849.Homo_Sapiens.CTCF.b1	HeLa-S3-shBHLHE40.GSE137849.Homo_Sapiens.CTCF.b2	HeLa-S3-shBHLHE40.GSE137849.Homo_Sapiens.CTCF
HeLa-S3-shcontrol.GSE137849.Homo_Sapiens.CTCF.b1	HeLa-S3-shcontrol.GSE137849.Homo_Sapiens.CTCF.b2	HeLa-S3-shcontrol.GSE137849.Homo_Sapiens.CTCF
Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b1	Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b2	Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF
Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b1	Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b2	Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF
Hippocampus.GSE147672.Homo_Sapiens.H3K27ac.b1	Hippocampus.GSE147672.Homo_Sapiens.H3K27ac.b2	Hippocampus.GSE147672.Homo_Sapiens.H3K27ac
K562.GSE101498.Homo_Sapiens.H3K27ac.b1	K562.GSE101498.Homo_Sapiens.H3K27ac.b2	K562.GSE101498.Homo_Sapiens.H3K27ac
