A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
K562.GSE101498.Homo_Sapiens.H3K27ac.b1	K562.GSE101498.Homo_Sapiens.H3K27ac.b3	K562.GSE101498.Homo_Sapiens.H3K27ac
K562.GSE101498.Homo_Sapiens.H3K27ac.b2	K562.GSE101498.Homo_Sapiens.H3K27ac.b3	K562.GSE101498.Homo_Sapiens.H3K27ac
KBM7-MED14-dTAG_2h_DMSO.GSE139466.Homo_Sapiens.H3K27ac.b1	KBM7-MED14-dTAG_2h_DMSO.GSE139466.Homo_Sapiens.H3K27ac.b2	KBM7-MED14-dTAG_2h_DMSO.GSE139466.Homo_Sapiens.H3K27ac
KBM7-MED14-dTAG_2h_dTAG7.GSE139466.Homo_Sapiens.H3K27ac.b1	KBM7-MED14-dTAG_2h_dTAG7.GSE139466.Homo_Sapiens.H3K27ac.b2	KBM7-MED14-dTAG_2h_dTAG7.GSE139466.Homo_Sapiens.H3K27ac
Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Res-50I.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Res-shBORIS.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A
Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Res-shGFP.GSE126792.Homo_Sapiens.SMC1A
Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A
Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A.b1	Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A
Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A.b2	Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A.b3	Kelly-Sens-50I.GSE126792.Homo_Sapiens.SMC1A
M14-STAG2-KD.GSE156772.Homo_Sapiens.H3K27ac.b1	M14-STAG2-KD.GSE156772.Homo_Sapiens.H3K27ac.b2	M14-STAG2-KD.GSE156772.Homo_Sapiens.H3K27ac
M14-WT.GSE156772.Homo_Sapiens.H3K27ac.b1	M14-WT.GSE156772.Homo_Sapiens.H3K27ac.b2	M14-WT.GSE156772.Homo_Sapiens.H3K27ac
MDA-MB-231-PVT1sgRNAR2.GSE97585.Homo_Sapiens.H3K27ac.b1	MDA-MB-231-PVT1sgRNAR2.GSE97585.Homo_Sapiens.H3K27ac.b2	MDA-MB-231-PVT1sgRNAR2.GSE97585.Homo_Sapiens.H3K27ac
MDA-MB-231-PVT1sgRNAR3.GSE97585.Homo_Sapiens.H3K27ac.b1	MDA-MB-231-PVT1sgRNAR3.GSE97585.Homo_Sapiens.H3K27ac.b2	MDA-MB-231-PVT1sgRNAR3.GSE97585.Homo_Sapiens.H3K27ac
MDA-MB-231-sgRNA-Ctrl.GSE97585.Homo_Sapiens.H3K27ac.b1	MDA-MB-231-sgRNA-Ctrl.GSE97585.Homo_Sapiens.H3K27ac.b2	MDA-MB-231-sgRNA-Ctrl.GSE97585.Homo_Sapiens.H3K27ac
Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b1	Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b2	Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac
Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Monocyte_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
MyLa.GSE101498.Homo_Sapiens.H3K27ac.b1	MyLa.GSE101498.Homo_Sapiens.H3K27ac.b2	MyLa.GSE101498.Homo_Sapiens.H3K27ac
NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b1	NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b2	NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF
NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b1	NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b3	NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF
NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b2	NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b3	NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF
NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF.b1	NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF.b2	NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF
NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF.b1	NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF.b3	NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF
NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF.b2	NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF.b3	NSD2-Low-TKO.GSE131651.Homo_Sapiens.CTCF
Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_B_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1815-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1816-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1829-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	Naive_K_1831-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
Naive_Tcells.GSE101498.Homo_Sapiens.CTCF.b1	Naive_Tcells.GSE101498.Homo_Sapiens.CTCF.b2	Naive_Tcells.GSE101498.Homo_Sapiens.CTCF
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b1	Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b2	Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b1	Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b3	Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b2	Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b3	Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac
