A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1786.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1800.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1814.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1815.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1816.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b1	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b2	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac
Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b3	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac.b4	Nonclassical_Monocyte_1831.phs001703v4p1.Homo_Sapiens.H3K27ac
OCI-AML3-DeltaSTAG2.GSE111537.Homo_Sapiens.CTCF.b1	OCI-AML3-DeltaSTAG2.GSE111537.Homo_Sapiens.CTCF.b2	OCI-AML3-DeltaSTAG2.GSE111537.Homo_Sapiens.CTCF
OCI-AML3-WT.GSE111537.Homo_Sapiens.CTCF.b1	OCI-AML3-WT.GSE111537.Homo_Sapiens.CTCF.b2	OCI-AML3-WT.GSE111537.Homo_Sapiens.CTCF
OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac.b1	OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac.b2	OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac
OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac.b1	OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac.b3	OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac
OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac.b2	OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac.b3	OCI-Ly7-Control.GSE183797.Homo_Sapiens.H3K27ac
OCI-Ly7-OCABi.GSE183797.Homo_Sapiens.H3K27ac.b1	OCI-Ly7-OCABi.GSE183797.Homo_Sapiens.H3K27ac.b2	OCI-Ly7-OCABi.GSE183797.Homo_Sapiens.H3K27ac
PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac.b1	PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac.b2	PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac
PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac.b1	PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac.b3	PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac
PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac.b2	PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac.b3	PAEC-Control.GSE152900.Homo_Sapiens.H3K27ac
PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac.b1	PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac.b2	PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac
PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac.b1	PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac.b3	PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac
PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac.b2	PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac.b3	PAEC-LSS.GSE152900.Homo_Sapiens.H3K27ac
PAEC-siRNA-Ctrl.GSE152900.Homo_Sapiens.H3K27ac.b1	PAEC-siRNA-Ctrl.GSE152900.Homo_Sapiens.H3K27ac.b2	PAEC-siRNA-Ctrl.GSE152900.Homo_Sapiens.H3K27ac
PAEC-siRNA-KLF2-4.GSE152900.Homo_Sapiens.H3K27ac.b1	PAEC-siRNA-KLF2-4.GSE152900.Homo_Sapiens.H3K27ac.b2	PAEC-siRNA-KLF2-4.GSE152900.Homo_Sapiens.H3K27ac
Parietal-Lobe.GSE147672.Homo_Sapiens.H3K27ac.b1	Parietal-Lobe.GSE147672.Homo_Sapiens.H3K27ac.b2	Parietal-Lobe.GSE147672.Homo_Sapiens.H3K27ac
Primary-Foreskin-Keratinocytes-Day0.GSE158642.Homo_Sapiens.H3K27ac.b1	Primary-Foreskin-Keratinocytes-Day0.GSE158642.Homo_Sapiens.H3K27ac.b2	Primary-Foreskin-Keratinocytes-Day0.GSE158642.Homo_Sapiens.H3K27ac
Primary-Foreskin-Keratinocytes-Day3.GSE158642.Homo_Sapiens.H3K27ac.b1	Primary-Foreskin-Keratinocytes-Day3.GSE158642.Homo_Sapiens.H3K27ac.b2	Primary-Foreskin-Keratinocytes-Day3.GSE158642.Homo_Sapiens.H3K27ac
Primary-Foreskin-Keratinocytes-Day6.GSE158642.Homo_Sapiens.H3K27ac.b1	Primary-Foreskin-Keratinocytes-Day6.GSE158642.Homo_Sapiens.H3K27ac.b2	Primary-Foreskin-Keratinocytes-Day6.GSE158642.Homo_Sapiens.H3K27ac
Primary-T-D0.GSE168881.Homo_Sapiens.H3K27ac.b1	Primary-T-D0.GSE168881.Homo_Sapiens.H3K27ac.b2	Primary-T-D0.GSE168881.Homo_Sapiens.H3K27ac
Retina.GSE196235.Homo_Sapiens.H3K27ac.b1	Retina.GSE196235.Homo_Sapiens.H3K27ac.b2	Retina.GSE196235.Homo_Sapiens.H3K27ac
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1	SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2	SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b1	SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3	SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A
SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b2	SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A.b3	SEC-WT-D7.GSE120294.Homo_Sapiens.SMC1A
SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b1	SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b2	SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A
SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b1	SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b3	SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A
SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b2	SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A.b3	SEC-p63KO-D7.GSE120294.Homo_Sapiens.SMC1A
SNU16-dCas9-KRAB.GSE159985.Homo_Sapiens.H3K27ac.b1	SNU16-dCas9-KRAB.GSE159985.Homo_Sapiens.H3K27ac.b2	SNU16-dCas9-KRAB.GSE159985.Homo_Sapiens.H3K27ac
STAG2-KO.GSE116495.Homo_Sapiens.SMC1A.b1	STAG2-KO.GSE116495.Homo_Sapiens.SMC1A.b2	STAG2-KO.GSE116495.Homo_Sapiens.SMC1A
STAG2-WT.GSE116495.Homo_Sapiens.SMC1A.b1	STAG2-WT.GSE116495.Homo_Sapiens.SMC1A.b2	STAG2-WT.GSE116495.Homo_Sapiens.SMC1A
Substantia-Nigra.GSE147672.Homo_Sapiens.H3K27ac.b1	Substantia-Nigra.GSE147672.Homo_Sapiens.H3K27ac.b2	Substantia-Nigra.GSE147672.Homo_Sapiens.H3K27ac
Superior-and-Middle-Temporal-Gyri.GSE147672.Homo_Sapiens.H3K27ac.b1	Superior-and-Middle-Temporal-Gyri.GSE147672.Homo_Sapiens.H3K27ac.b2	Superior-and-Middle-Temporal-Gyri.GSE147672.Homo_Sapiens.H3K27ac
TC71_SA2m2.GSE133227.Homo_Sapiens.CTCF.b1	TC71_SA2m2.GSE133227.Homo_Sapiens.CTCF.b2	TC71_SA2m2.GSE133227.Homo_Sapiens.CTCF
TC71_SA2m2.GSE133227.Homo_Sapiens.H3K27ac.b1	TC71_SA2m2.GSE133227.Homo_Sapiens.H3K27ac.b2	TC71_SA2m2.GSE133227.Homo_Sapiens.H3K27ac
TC71_WT.GSE133227.Homo_Sapiens.CTCF.b1	TC71_WT.GSE133227.Homo_Sapiens.CTCF.b2	TC71_WT.GSE133227.Homo_Sapiens.CTCF
TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	TC71_WT.GSE133227.Homo_Sapiens.H3K27ac
THP1-125D.GSE188380.Homo_Sapiens.CTCF.b1	THP1-125D.GSE188380.Homo_Sapiens.CTCF.b2	THP1-125D.GSE188380.Homo_Sapiens.CTCF
THP1-125D.GSE188380.Homo_Sapiens.CTCF.b1	THP1-125D.GSE188380.Homo_Sapiens.CTCF.b3	THP1-125D.GSE188380.Homo_Sapiens.CTCF
THP1-125D.GSE188380.Homo_Sapiens.CTCF.b2	THP1-125D.GSE188380.Homo_Sapiens.CTCF.b3	THP1-125D.GSE188380.Homo_Sapiens.CTCF
THP1-CTRL.GSE188380.Homo_Sapiens.CTCF.b1	THP1-CTRL.GSE188380.Homo_Sapiens.CTCF.b2	THP1-CTRL.GSE188380.Homo_Sapiens.CTCF
THP1-CTRL.GSE188380.Homo_Sapiens.CTCF.b1	THP1-CTRL.GSE188380.Homo_Sapiens.CTCF.b3	THP1-CTRL.GSE188380.Homo_Sapiens.CTCF
THP1-CTRL.GSE188380.Homo_Sapiens.CTCF.b2	THP1-CTRL.GSE188380.Homo_Sapiens.CTCF.b3	THP1-CTRL.GSE188380.Homo_Sapiens.CTCF
Th17.GSE101498.Homo_Sapiens.H3K27ac.b1	Th17.GSE101498.Homo_Sapiens.H3K27ac.b2	Th17.GSE101498.Homo_Sapiens.H3K27ac
Th17.GSE101498.Homo_Sapiens.H3K27ac.b1	Th17.GSE101498.Homo_Sapiens.H3K27ac.b3	Th17.GSE101498.Homo_Sapiens.H3K27ac
Th17.GSE101498.Homo_Sapiens.H3K27ac.b2	Th17.GSE101498.Homo_Sapiens.H3K27ac.b3	Th17.GSE101498.Homo_Sapiens.H3K27ac
Treg.GSE101498.Homo_Sapiens.H3K27ac.b1	Treg.GSE101498.Homo_Sapiens.H3K27ac.b2	Treg.GSE101498.Homo_Sapiens.H3K27ac
Treg.GSE101498.Homo_Sapiens.H3K27ac.b1	Treg.GSE101498.Homo_Sapiens.H3K27ac.b3	Treg.GSE101498.Homo_Sapiens.H3K27ac
Treg.GSE101498.Homo_Sapiens.H3K27ac.b2	Treg.GSE101498.Homo_Sapiens.H3K27ac.b3	Treg.GSE101498.Homo_Sapiens.H3K27ac
hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A.b1	hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A.b2	hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A
hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A.b1	hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A.b3	hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A
hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A.b2	hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A.b3	hESC-AHDC1-GIBBIN-KO.GSE181971.Homo_Sapiens.SMC1A
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1	hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2	hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b1	hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3	hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A
hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b2	hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A.b3	hESC-WT-D0.GSE120294.Homo_Sapiens.SMC1A
hESC-WT.GSE181971.Homo_Sapiens.SMC1A.b1	hESC-WT.GSE181971.Homo_Sapiens.SMC1A.b2	hESC-WT.GSE181971.Homo_Sapiens.SMC1A
hESC-WT.GSE181971.Homo_Sapiens.SMC1A.b1	hESC-WT.GSE181971.Homo_Sapiens.SMC1A.b3	hESC-WT.GSE181971.Homo_Sapiens.SMC1A
hESC-WT.GSE181971.Homo_Sapiens.SMC1A.b2	hESC-WT.GSE181971.Homo_Sapiens.SMC1A.b3	hESC-WT.GSE181971.Homo_Sapiens.SMC1A
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b1	hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b2	hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b1	hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b3	hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A
hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b2	hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A.b3	hESC-p63GOF-D0.GSE120294.Homo_Sapiens.SMC1A
